id,type,text,correctAnswer,explanation
022,true-false,"下坡時利用低速檔及排氣煞車，做引擎煞車減速時，需注意引擎最高轉速 限制。",O,
023,true-false,"裝置氣壓煞車系統之汽車，連續踩放煞車踏板．不僅對煞車效果毫無益 處，反而浪費貯氣箱之空氣，減低制動效能。",O,
024,true-false,"大型車貯氣箱，應於每天停駛後，需排除內部積水。",O,
025,true-false,"發現空氣壓縮機充氣的時間比平時長，只要氣壓足夠可不必理會。",X,
026,true-false,"煞車壓力警告燈未熄滅，且蜂鳴器未停止鳴叫，以低速行駛並不會有危 險。",X,
027,true-false,"裝置氣壓煞車系統之汽車，如果引擎無法發動，而必須移動車子時，則需 將彈簧煞車室充氣，以放鬆煞車。",O,
028,true-false,"煞車時，若車輪鎖死，則煞車效能會增加，但車子會失去方向控制性能。",X,
029,true-false,"為節省油料及減少引擎負荷，行駛下坡路段時，可換空檔或踩下離合器踏 板。",X,
030,true-false,"前輪校正不準確，除了駕駛困難外，輪胎磨耗也會增加。",O,
031,true-false,"自動排檔車故障需拖曳時，必須將差速器端的傳動軸拆下，否則變速箱會 因潤滑不良而受損。",O,
032,true-false,"由前進檔換入倒檔，一定要汽車完全停止後再操作。",O,
033,true-false,"大型車自動變速箱之使用與小型車相似，需視路況及交通狀況確定速度及 選擇檔位。",O,
034,true-false,"大型車自動變速箱與小型車相同，嚴禁空檔滑行，否則會損壞變速箱。",O,
035,true-false,"自排車換檔時，某些特定檔位需壓下按鈕，為防止錯誤，平時使用時需養 成不壓按鈕之習慣，在於使用特定檔位時才壓按鈕。",O,
036,true-false,"動力轉向系統，若液壓輔助失效，車子仍可行駛，但方向盤將變得沈重。",O,
037,true-false,"空氣煞車系統管路漏氣，造成氣壓不足時，彈簧煞車會自動煞住，無法行 駛。",O,
038,true-false,"裝有觸媒轉換器的汽車，行駛後不可停放在草地、或易燃物品上，以免發 生火災。",O,
039,true-false,"冷卻系統只要副水箱在滿水位，主水箱不必檢查也不會有問題。",X,
040,true-false,"引擎冷卻水內含有防凍液或防銹劑，可不必更換。",X,
041,true-false,"新車在磨合時期內，要避免高速行駛與緊急煞車。",O,
042,true-false,"裝觸媒轉換器的汽車，一定要使用無鉛汽油。",O,
043,true-false,"急速踩放油門踏板，會造成耗油與增加排放污染氣體之不良現象。",O,
044,true-false,"使用電動汽油邦浦的汽車油箱缺油時，易使電動汽油邦浦損壞。",O,
045,true-false,"排氣渦輪增壓器是以引擎機油來潤滑。",O,
046,true-false,"汽油噴射系統汽車，其空氣吸入口較低，涉水深度不可超過車輪的一半。",O,
047,true-false,"引擎狀況良好，燃料濾清器仍需定期更換。",O,
048,true-false,"裝觸媒轉換器之汽油車，可以添加高級汽油。",X,
049,true-false,"正時皮帶需定期更換，否則斷裂時，會嚴重損壞引擎。",O,
050,true-false,"機油濾清器，需按照汽車使用手冊規定，定期更換。",O,
051,true-false,"檢查引擎機油時，車子要停在平坦地面，且在引擎運轉中檢查。",X,
052,true-false,"汽車行駛於積水路面時不可勉強行駛，否則會造成引擎嚴重損壞。",O,
053,true-false,"引擎運轉中冷卻系統副水箱之液面愈來愈低，表示正常現象。",X,
054,true-false,"汽車引擎冷卻系統裝有節溫器，可縮短引擎溫熱時間。",O,
055,true-false,"發現引擎過熱時應立即停車，但在高溫狀態下不可旋開水箱蓋以免燙傷。",O,
056,true-false,"引擎機油如變為乳白狀現象，表示冷卻水已混入機油，需送廠檢修。",O,
057,true-false,"為提升引擎動力，可拆下消音器。",X,
058,true-false,"拆下引擎冷卻系統之節溫器，可節省燃料消耗。",X,
059,true-false,"空氣濾清器太髒未更換，會造成耗油及降低馬力等現象。",O,
060,true-false,"引擎低溫發動時，排氣管會滴水是正常現象。",O,
061,true-false,"拆下引擎冷卻系統之節溫器並不影響引擎壽命。",X,
062,true-false,"引擎機油太多時，會造成火星塞積碳、耗油、馬力降低等不良現象。",O,
063,true-false,"汽車行駛速度愈高愈省油，故引擎轉速可以無限制地提升。",X,
064,true-false,"汽油車排放黑煙是正常現象。",X,
065,true-false,"冷引擎高速運轉會縮短引擎壽命。",O,
066,true-false,"引擎在低溫時耗油量比正常溫度時大。",O,
067,true-false,"裝用三元觸媒轉換器的目的為降低一氧化碳、碳化氫、氮氧化物之排出 量，以減少空氣污染。",O,
068,true-false,"定期更換引擎機油，可延長引擎使用壽命。",O,
069,true-false,"水冷式引擎無冷卻水時，不可發動。",O,
070,true-false,"汽車耗費燃油之原因，係引擎機件不良所引起，與駕駛行為無關。",X,
071,true-false,"只要冷卻水足夠，引擎就不會過熱。",X,
072,true-false,"引擎發動時，排放藍白色煙，表示燃燒機油。",O,
073,true-false,"煞車時有異音，是煞車系統不正常的現象，應停車檢查。",O,
074,true-false,"煞車時有異音，是正常的情況，不必檢修。",X,
075,true-false,"手煞車未放鬆，對起步沒有什麼影響。",X,
076,true-false,"在停車時拉緊手煞車，可防止車子滑動。",O,
077,true-false,"手煞車與腳煞車不能同時併用。",X,
078,true-false,"裝置ＡＢＳ煞車系統之汽車當緊急煞車時，行駛方向之操控性較佳。",O,
079,true-false,"汽車行駛中，發現前有障礙物，由踩煞車時算起，直到車子完全停止的距 離，叫做反應距離。",X,
080,true-false,"踩煞車時發現踏板軟綿綿的，可能煞車油管內有空氣或漏油，應立即停車 檢修，以免發生危險。",O,
081,true-false,"踩煞車太猛，輪胎易磨損，且容易翻車。",O,
082,true-false,"煞車總泵的油量不足，空氣不會滲入。",X,
083,true-false,"煞車總泵的通氣孔，應保持暢通。",O,
084,true-false,"煞車踏板已放鬆，煞車仍然咬住，可能為煞車踏板沒有空檔間隙。",O,
085,true-false,"輪胎行駛一段時期後，應該按規定調換，以延長輪胎使用壽命。",O,
086,true-false,"輪胎上沾有機油、黃油並無害處。",X,
087,true-false,"輪胎因長時間行駛而發熱時，應潑冷水冷卻。",X,
088,true-false,"輪胎套筒是行車必備的隨車工具。",O,
089,true-false,"汽車裝載超重，不影響轉向機構。",X,
090,true-false,"汽車在轉彎時，差速器可使內外輪以不同的速度行駛。",O,
091,true-false,"手排汽車踩離合器時，引擎與傳動系統分開，引擎力量不會傳到傳動系 統。",O,
092,true-false,"車用變速箱，是利用不同大小的齒輪，相互接合來變換行車速度。",O,
093,true-false,"變速箱在一檔位置時，車子的速度慢，但是扭力大。",O,
094,true-false,"變速箱的外殼要保持清潔，使散熱良好。",O,
095,true-false,"方向盤操作變重可能因素為胎壓不足、動力轉向系統故障或驅動皮帶過 鬆。",O,
096,true-false,"動力轉向之汽車，引擎熄火後，轉向所需操作力不受影響。",X,
097,true-false,"輪胎動平衡不良時，高速行駛方向盤會發生抖動現象。",O,
098,true-false,"由前進檔換入倒檔，或由倒檔換入前進檔，不一定要停車後再操作。",X,
099,true-false,"輪胎氣壓逾高，與地面摩擦阻力逾大。",X,
100,true-false,"標有１５５ＳＲ１２等字樣之輪胎，其中Ｒ是表示此輪胎為輻射層輪胎。",O,
101,true-false,"碟式煞車與鼓式煞車，均須調整來令片的間隙。",X,
102,true-false,"為了節省煞車油，使用過的煞車油，可再重複使用。",X,
103,true-false,"同時混用不同廠牌、規格之煞車油，可以確保煞車系統作用正常。",X,
104,true-false,"汽車陷入泥沼中，需以高速檔來使汽車脫離泥沼。",X,
105,true-false,"自排車起動引擎時，一定要將排檔桿置於Ｄ檔，才能使起動馬達運轉。",X,
106,true-false,"自排汽車起步時，要踩下煞車踏板，才能移動排檔桿，以避免發生暴走危 險。",O,
107,true-false,"拖吊汽車時，為避免自動變速箱等傳動機件損壞，應將驅動車輪吊離地 面。",O,
108,true-false,"檢查自動變速箱油量時，如發現有燒焦味且顏色變黑色或白色乳狀表示正 常現象。",X,
109,true-false,"自動變速箱油（ＡＴＦ）之正常顏色為藍色。",X,
110,true-false,"自排車行駛中，若引擎轉速與車速未成一定比率上升，則表示變速箱內部 損壞，需送廠檢修。",O,
111,true-false,"自排車下險坡時，需排入較低之檔位。",O,
112,true-false,"自排車上陡坡時，排檔桿要置於Ｄ檔。",X,
113,true-false,"動力轉向系統漏油時，方向盤就完全無法轉動。",X,
114,true-false,"有ＡＢＳ煞車系統的汽車，煞車性能較優，可以不用保持適當的安全距 離。",X,
115,true-false,"有ＡＢＳ煞車系統之汽車，行駛中發現儀錶板上[ＡＢＳ]之燈號亮，則表 示ＡＢＳ煞車系統有故障，要進廠檢修。",O,
116,true-false,"同軸的車輪可以裝用不同花紋與不同規格之輪胎。",X,
117,true-false,"動力轉向系統轉動方向盤時有尖銳異音，其可能故障為驅動皮帶太鬆。",O,
118,true-false,"汽車行駛中，經常踩著離合器踏板，易使離合器片磨損。",O,
119,true-false,"電瓶放電後，不再充電，則電瓶液比重會升高。",X,
120,true-false,"起動引擎時，引擎不能轉動或轉速太慢，可能是電瓶或起動馬達故障。",O,
121,true-false,"引擎發動失敗後，不必等到引擎完全靜止，可再立即運轉起動馬達，比較 容易發動。",X,
122,true-false,"保險絲燒斷，可用銅線代替，以免燒斷再換，增添麻煩。",X,
123,true-false,"點煙器座不可任意增設，以免危及電路安全。",O,
124,true-false,"分電盤之功用，是將高壓電依一定點火順序分送到每一缸火星塞。",O,
125,true-false,"汽車上之起動馬達，是用來發電。",X,
126,true-false,"火星塞跳火，是利用高壓電。",O,
127,true-false,"電瓶液不足，會使得極板暴露，影響電瓶壽命。",O,
128,true-false,"電瓶蓋上的通氣孔，是添加電瓶液用，不應該使它阻塞。",X,
129,true-false,"流向火星塞之電流，是低壓電流。",X,
130,true-false,"關掉發火開關電源，汽油引擎還不能立即熄火，是因為引擎溫度過高所 致。",O,
131,true-false,"電瓶椿頭上，應塗上少許黃油，以防止腐蝕。",O,
132,true-false,"每次使用起動馬達發動引擎，最多不超過１０－１５秒，否則電瓶與起動 馬達易損壞。",O,
133,true-false,"高壓線圈是用來將高壓電變成低壓電。",X,
134,true-false,"電瓶液含有硫酸，不可濺到車上或身上。",O,
135,true-false,"檢查電瓶液不足時，應添加蒸餾水。",O,
136,true-false,"引擎運轉中，已達到工作溫度，電動式冷卻風扇會自動運轉，幫助散熱。",O,
137,true-false,"引擎發動後，各部份電器用電，可由發電機發電供給。",O,
138,true-false,"引擎發動中，充電指示燈 熄滅，表示電瓶放電。",X,
139,true-false,"電瓶電量不足時，如使用另一車電瓶救援，需採＋極接＋極，－極接故障 汽車搭鐵良好處。",O,
140,true-false,"一般電瓶之電容量的表示方法是：安培小時。",O,
141,true-false,"冷引擎運轉，電動式冷卻風扇，隨著引擎轉動，即開始不停地送風冷卻。",X,
142,true-false,"引擎溫度高時，溫度錶指針偏向Ｈ處。",O,
143,true-false,"電瓶無電或電力不足，不會影響高壓電。",X,
144,true-false,"高壓線破損，造成絕緣不良，產生漏電時，應全部換新。",O,
145,true-false,"起動引擎時所用的電源，是發電機供給的。",X,
146,true-false,"電瓶液不足，使極板裸露，若繼續使用，不會影響電瓶壽命。",X,
147,true-false,"火星塞電極部份，呈現紅棕色表示燃燒作用正常。",O,
148,true-false,"車上安裝過多且耗電之電器用品，易使引擎耗費燃料。",O,
149,true-false,"換裝電瓶時，若正負極接錯，會導致車上電器用品損壞。",O,
150,true-false,"喇叭一直響不停，可把喇叭的保險絲拆下。",O,
151,true-false,"自動排檔汽車，當電瓶電力不足以起動引擎時，可以用推車方式使引擎發 動。",X,
152,true-false,"引擎起動後，不鬆回起動馬達開關，易使起動馬達損壞。",O,
153,true-false,"引擎發動運轉，發電機發電或電瓶充電中，則 指示燈熄滅。",O,
154,true-false,"保持適當電瓶液高度，可使電瓶使用壽命增長。",O,
155,true-false,"自動排檔汽車，將排檔桿放置於Ｎ或Ｐ檔以外之檔位，仍可起動引擎。",X,
156,true-false,"引擎運轉中，電動式冷卻風扇不轉動，可用手撥動。",X,
157,true-false,"設有防盜密碼之音響，拆除電瓶線之前，須先得知密碼，否則音響無法作 用。",O,
158,true-false,"夜間黑暗處，檢查電瓶液時，可用打火機點火在電瓶附近當作照明工具。",X,
159,true-false,"檢查火星塞，發現瓷芯積黑炭，表示高壓電點火微弱，或混合氣過濃。",O,
160,true-false,"頭燈燈座經過變動後，頭燈光束需要重新調整校正。",O,
161,true-false,"鹵素燈泡，如用手觸摸燈泡會影響散熱縮短其使用壽命。",O,
162,true-false,"拆除汽車上的電瓶時，應先拆除電瓶的火線（正極）。",X,
163,true-false,"汽車冷氣壓縮機內之冷凍油可以使用一般引擎機油。",X,
164,true-false,"4WD代表四輪轉向的意思。",X,
165,true-false,"柴油引擎在重負載加速時，所產生之黑煙最多。",O,
166,true-false,"汽車驅動方式，可區分為前輪、後輪和四輪驅動等三種模式。",O,
167,true-false,"汽車輪胎調位之主要目的是使輪胎磨損均勻，並增加輪胎使用壽命。",O,
168,true-false,"碟式煞車的優點為散熱快，煞車效果好。",O,
169,true-false,"引擎發動中的汽車不可拆下電瓶線。",O,
170,true-false,"變速箱油油液過多或過少，都可能損害變速箱，油液過多可能會造成機件 運轉阻力過大，或者使得變速箱油起泡變質而致機件不正常磨損。故檢查 變速箱油時，務必量測精確。",O,
171,true-false,"定期調整汽車的引擎供油狀況，以提高汽油的使用效率，以及隨時注意空 氣濾清器、火星塞及化油器的清潔，並適時更換。",O,
172,true-false,"煞車踏板沒有自由行程時，會導致煞車咬住不能鬆開。",O,
173,true-false,"汽車大燈燈座的固定架如發生撞擊變形時，最好將整組固定架更換，重新 將大燈裝回後，還要進行大燈照射角度的調整工作。",O,
174,true-false,"大多數自排汽車的自動變速箱油(ATF)之油面高度檢查，要在引擎怠速運 轉狀態下實施。",O,
175,true-false,"手自排與自手排汽車之變速箱，內部的構造與零件是完全一樣。",X,
