id,type,text,options,correctAnswer
083,multiple-choice,"影響輪胎壽命最大因素為","{""1"":""車速"",""2"":""氣溫"",""3"":""載重""}",3
084,multiple-choice,"離合器片磨損時，有何種現象","{""1"":""引擎轉速上升但車速仍未見增加"",""2"":""變速箱會跳檔"",""3"":""轉向困難""}",1
085,multiple-choice,"輪胎標示１５５Ｓ Ｒ１３則１５５係表示","{""1"":""輪胎胎面寬１５５ｍ ｍ"",""2"":""輪胎斷面高１５５ｍｍ"",""3"":""鋼圈內徑１５５ｍｍ""}",1
086,multiple-choice,"變速箱齒輪油過多會造成","{""1"":""消耗動力及過熱"",""2"":""變速箱無法換 檔"",""3"":""變速箱易跳檔""}",1
087,multiple-choice,"更換引擎機油及變速箱齒輪油應於","{""1"":""未發動冷卻時"",""2"":""行駛後油 溫昇高時"",""3"":""冷熱無關""}",2
088,multiple-choice,"輪胎規格標示在輪胎之","{""1"":""胎面"",""2"":""胎邊（側面）"",""3"":""胎唇""}",2
089,multiple-choice,"自動變速箱汽車的缺點是","{""1"":""不必操作離合器可換檔"",""2"":""起步時不 會熄火"",""3"":""引擎煞車效果較差""}",3
090,multiple-choice,"自動排檔車拖吊時，若無法使驅動輪懸空，則必須遵照","{""1"":""低速，短 距離"",""2"":""低速，長距離"",""3"":""高速，短距離之原則，以避免自動變速 箱損壞""}",1
091,multiple-choice,"自動變速箱油（ＡＴＦ）的顏色為","{""1"":""透明的褐色"",""2"":""透明的紅 色"",""3"":""不透明黑色""}",2
092,multiple-choice,"前輪驅動汽車之差速器裝在","{""1"":""離合器的後面"",""2"":""傳動軸的後面"",""3"":""變速箱內""}",3
093,multiple-choice,"後軸總成之主要功用","{""1"":""作最後的減速"",""2"":""汽車轉彎時，使左右兩 輪轉速不同"",""3"":""以上兩者皆是""}",3
094,multiple-choice,"有ＡＢＳ煞車系統之汽車，當[ＡＢＳ]之警示燈亮時","{""1"":""全車的煞車 完全失效"",""2"":""煞車功能大受影響，宜儘速送廠檢修"",""3"":""與煞車系統 無關""}",2
095,multiple-choice,"煞車來令片上如沾有油脂或油類，則煞車時會產生","{""1"":""煞車震動"",""2"":""煞車異音"",""3"":""該輪煞車失效""}",3
096,multiple-choice,"輪胎沾有油脂應該","{""1"":""用清水洗"",""2"":""用汽油清洗"",""3"":""用柴油擦 拭""}",1
097,multiple-choice,"檢查電瓶液不足時，應加入","{""1"":""蒸餾水"",""2"":""任何地方之河井水"",""3"":""一般用戶之自來水""}",1
098,multiple-choice,"電瓶電極裝錯，易使","{""1"":""直流發電機整流子燒毀"",""2"":""交流發電機整 流粒燒毀"",""3"":""無影響""}",2
099,multiple-choice,"電瓶椿頭塗上何物，可以防止腐蝕，並使導電良好","{""1"":""油漆"",""2"":""黃 油"",""3"":""柏油""}",2
100,multiple-choice,"汽車欲停用數月以上，應該","{""1"":""將電水倒盡"",""2"":""將電耗盡"",""3"":""將電瓶充滿電並將電瓶椿頭拆下為宜""}",3
101,multiple-choice,"發電機發出的電壓愈高，燈泡愈亮，其使用壽命愈","{""1"":""長"",""2"":""短"",""3"":""不變""}",2
102,multiple-choice,"電瓶液高度須保持","{""1"":""低於液面指示線之下線"",""2"":""與極板同高"",""3"":""液面指示線間""}",3
103,multiple-choice,"起動馬達，消耗電流是由","{""1"":""發電機供給"",""2"":""電瓶供給"",""3"":""發 電機和電瓶供給""}",2
104,multiple-choice,"電瓶液經常溢出於電瓶外，且有氣泡發生，應檢查","{""1"":""充電系統"",""2"":""冷卻系統"",""3"":""起動系統""}",1
105,multiple-choice,"電瓶蓋上的小孔，是用來","{""1"":""看電瓶液量多少"",""2"":""通氣用"",""3"":""加電瓶液用""}",2
106,multiple-choice,"引擎溫度低，溫度錶指針就偏向","{""1"":""Ｈ"",""2"":""中間"",""3"":""Ｃ""}",3
107,multiple-choice,"汽車所使用電瓶之電為","{""1"":""直流電"",""2"":""交流電"",""3"":""高壓電""}",1
108,multiple-choice,"電瓶液之成份是","{""1"":""純硫酸"",""2"":""蒸餾水"",""3"":""硫酸與蒸餾水之混 合""}",3
109,multiple-choice,"定期保養更換火星塞，應","{""1"":""只換下故障之火星塞"",""2"":""只換下與故 障相鄰之兩缸火星塞"",""3"":""需全部更新為宜""}",3
110,multiple-choice,"火星塞跳火間隙","{""1"":""愈大愈好"",""2"":""愈小愈好"",""3"":""按各廠家規定 之間隙""}",3
111,multiple-choice,"冷天發動引擎，電瓶化學作用遲緩，馬達搖轉引擎速度比夏天為","{""1"":""慢"",""2"":""快"",""3"":""一樣""}",1
112,multiple-choice,"當電瓶線之椿頭夾鬆動，仍無法鎖緊時","{""1"":""用鎯頭敲緊椿頭端"",""2"":""用長螺絲釘鎖緊"",""3"":""更換椿頭夾及電瓶線""}",3
113,multiple-choice,"汽車行駛中，駕駛人發現左右方向指示燈閃爍次數不一，可能是","{""1"":""燈開關故障"",""2"":""保險絲斷"",""3"":""其中一邊方向燈泡燒毀，所造成""}",3
114,multiple-choice,"添加電瓶液時，不小心溢出，沾附於車身鈑金上","{""1"":""擦拭乾淨"",""2"":""先用清水沖洗，再以乾布擦拭乾淨"",""3"":""讓它自然蒸發""}",2
115,multiple-choice,"連接火星塞之電線必須","{""1"":""耐高電壓"",""2"":""愈長愈好"",""3"":""一般銅 線即可""}",1
116,multiple-choice,"起動馬達不轉動，可能是","{""1"":""分電盤損壞"",""2"":""風扇皮帶損壞"",""3"":""電瓶椿頭鬆動""}",3
117,multiple-choice,"電瓶液經常不足，是","{""1"":""車上電器用品，裝設過多"",""2"":""充電系統故 障"",""3"":""以上皆是""}",3
118,multiple-choice,"當引擎轉速超過設定之紅色區域時，則","{""1"":""引擎易過熱或磨損"",""2"":""沒有關係"",""3"":""煞車容易失靈""}",1
119,multiple-choice,"拆下保險絲檢查，發現已燒斷時","{""1"":""用銅線代替，以免再燒斷"",""2"":""用鐵絲代替"",""3"":""更換安培數相同之保險絲並檢查電路""}",3
120,multiple-choice,"更換火星塞，應注意","{""1"":""更換同一廠牌、型式之火星塞"",""2"":""更換他 種廠牌型式之火星塞"",""3"":""更換價格昂貴之火星塞，為宜""}",1
121,multiple-choice,"檢查雨刷系統時，應","{""1"":""不必噴水，直接刮洗"",""2"":""先刮洗，再噴 水"",""3"":""先噴水再刮洗，以免損壞擋風玻璃表面""}",3
122,multiple-choice,"檢查電瓶液面高低，並進行補充時","{""1"":""只要檢查一孔即可"",""2"":""只要 檢查二孔即可"",""3"":""需要每一孔都檢查""}",3
123,multiple-choice,"電瓶水不足時應加入","{""1"":""稀硫酸"",""2"":""蒸餾水"",""3"":""電水""}",2
124,multiple-choice,"車上之電器用品，如果加裝過多，與下列何者無關","{""1"":""燃料耗費"",""2"":""電瓶液易失及電線易發熱"",""3"":""馬力提高""}",3
125,multiple-choice,"汽車行駛中，溫度錶指針上升至Ｈ端時，應檢查","{""1"":""水箱水量"",""2"":""機油量多寡"",""3"":""以上皆是""}",3
126,multiple-choice,"夜間駕車，打開大燈，發現左右近光燈同時不亮，首先應檢查","{""1"":""電 瓶椿頭"",""2"":""點火開關"",""3"":""近光燈之保險絲""}",3
127,multiple-choice,"引擎運轉中，若拆離電瓶火線，下列何組件會燒壞","{""1"":""電瓶"",""2"":""使 用中之電器"",""3"":""發火線圈""}",2
128,multiple-choice,"汽油噴射引擎，混合氣之點火燃燒是靠","{""1"":""火星塞跳火"",""2"":""預熱塞 加熱"",""3"":""高壓高溫自燃。產生動力""}",1
129,multiple-choice,"電瓶正負極性裝反，則","{""1"":""沒有關係"",""2"":""電腦及電器易損壞"",""3"":""保險絲燒斷""}",2
130,multiple-choice,"汽車燃油量不足時，燃油錶指針就偏向","{""1"":""Ｅ"",""2"":""Ｆ"",""3"":""Ｈ""}",1
131,multiple-choice,"故障汽車實施供電救援時，使用之跨接導線，應","{""1"":""愈細"",""2"":""愈 粗"",""3"":""一般銅線。則通電良好""}",2
132,multiple-choice,"發電機有噪音，其原因","{""1"":""軸承磨損過多，或軸心彎曲"",""2"":""碳刷彈 簧過強"",""3"":""碳刷彈簧過弱""}",1
133,multiple-choice,"汽車遠光燈照射的明視距離是離車前","{""1"":""４０"",""2"":""６０"",""3"":""１００公尺遠處能看清行人及障礙物""}",3
134,multiple-choice,"汽車近光燈照射的明視距離是離車前","{""1"":""４０"",""2"":""８０"",""3"":""１００公尺遠處能看清行人及障礙物""}",1
135,multiple-choice,"95無鉛汽油與98無鉛汽油，最重要的差異是","{""1"":""熱值"",""2"":""含鉛量"",""3"":""辛烷值""}",3
136,multiple-choice,"汽車用觸媒轉換器其最主要之目的為何","{""1"":""降低排氣污染"",""2"":""降低引擎 排放噪音"",""3"":""延長引擎使用壽命""}",1
137,multiple-choice,"輪胎195SR14表示","{""1"":""輪胎直徑為14吋"",""2"":""鋼圈直徑為14吋"",""3"":""鋼 圈直徑為14公分""}",2
138,multiple-choice,"汽車的煞車儲油壺內之煞車油如長久未換新，若行駛於連續下坡路段時","{""1"":""容易造成煞車咬住"",""2"":""可縮短煞車距離"",""3"":""煞車時易造成失靈""}",3
139,multiple-choice,"引擎發動時將方向盤向左或向右打到底時才會發出噪音，最可能之故障原 因為下列何種皮帶太鬆","{""1"":""動力轉向"",""2"":""冷卻風扇"",""3"":""發電機""}",1
140,multiple-choice,"輪胎上之185/70SR14字樣表示","{""1"":""規格尺寸"",""2"":""適用溫度"",""3"":""製造日 期""}",1
141,multiple-choice,"汽車經常超載，將容易使下列何種機件損壞","{""1"":""懸吊彈簧或避震器"",""2"":""發電機或起動馬達"",""3"":""輪胎螺帽""}",1
142,multiple-choice,"為了省錢把電瓶電容量換小，會有下列何種現象","{""1"":""大燈較省電"",""2"":""引 擎較不易起動"",""3"":""較耗燃油""}",2
143,multiple-choice,"引擎機油長久未定期更換，下列何種零件最易損壞","{""1"":""空氣濾清器"",""2"":""引擎內部機件"",""3"":""高壓線""}",2
